,company,job_title,job_descr,time_of_scrape,job_search_term,job_location,salary_from_page_source_as_stated,salary_from_page_source_conv_hourly,salary_from_page_source_time_period,Num_reviews,Loc_from_title,date
46,Harnham,Machine Learning Lead,MACHINE LEARNING LEAD 600 650 PER DAY 6 MONTHS LONDON REMOTE BASED A chance to shape the Data Science product strategy for a leading THE COMPANY As a Machine Learning Lead you will for a on innovative product You will work in an agile team leading a small group of Data Scientist As a Machine Learning Lead you will be responsible for not only research and development of different Machine Learning focused product but also overall Data Science strategy THE ROLE As a Machine Learning Lead you must be an expert in Python and be very familiar with Machine learning tool such a Numpy Scikit-Learn Scipy As a Machine Learning Lead you must be familiar with random forest decision tree a well a more advanced model building with Neural Networks As a Machine Learning Lead you must also be able to deploy your own model using PySpark Docker Any experience with the cloud specifically AWS is valuable a a Machine Learning Lead As a Machine Learning Lead you must have experience leading small team from a technical perspective and be able to demonstrate your to Data Science product development As a Machine Learning Lead you must have skill and problem solving skill As a Machine Learning Lead you must also be able to work alongside key member of the business and able to demonstrate not only expertise within Data Science but also an understanding on how to drive business solution YOUR SKILLS AND EXPERIENCE The successful Data Scientist will have the following skill and experience Extensive experience with Python Numpy Scikit-Learn Scipy Commercial experience working on different customisation and model Good use of PySpark use of Neural Networks Led small team Demonstrate a to overall data science strategy product development PHD in Computer Science or equivalent The ideal candidate will have worked in AWS Familiarity with Docker Previous experience within Biotech THE BENEFITS day rate of up to 650 per day HOW TO APPLY Please register your interest by sending your CV to Anna Greenhill via the Apply link on this page ,Tue Nov 24 14:03:01 2020,"title:(machine, learning)",,650.0,89.04,D,9.0,London,2020-11-24
47,Touch Surgery,Machine Learning Platform Engineer,5 billion people two-thirds of the world s population do not have access to safe and affordable surgical care As a result million go untreated every year causing unnecessary suffering permanent debilitation or death The cause are a shortage of surgeon varying quality of care of training surgeon lack of funding and lack of accessibility to quality surgery Digital Surgery is on a mission to change surgical care for the better With our award-winning Touch Surgery mobile application and web platform it is now the dawn of Digital Surgery Digital Surgery ha created a digital data-driven ecosystem that us the latest technology like AI augmented reality vision to modernize surgical training orchestrate surgical team in the OR and deliver safer surgery around the world As a Machine Learning Platform Engineer within the Innovation team in Digital Surgery you will help to design implement and test Machine Learning framework and infrastructure to support other engineer and researcher of the team You will part of a talented team exploring through fast iterative prototyping vision machine learning team is responsible for developing solution that allow u to scale our automatic surgical understanding capability from raw video data Here s what you ll do not all of it just the important stuff Creating and maintaining AWS infrastructure for supporting the preparation development and deployment stage of ML model lifecycle Creating pipeline and assisting team member in deploying ML model into production environment Responsible for developing and maintaining our internal machine learning framework a well a assisting other member of the team As optional part of the role you will have the opportunity on ML project and perform task such a object detection localization and tracking segmentation and scene understanding Requirements Requirements Must have Proven experience working with AWS service S3 EC2 ECS Experience using CI pipeline Travis Jenkins BItbucket Experience with automation library Ansible Terraform focused on cloud deployment in machine learning with a good understanding of the process of training and inference with deep learning model Deliver well-written and Excellent in verbal and skill and Experienced in working in a fast-paced R D environment Nice to have Experience with back-end development Flask Django and data visualization experience would also be useful for this role of at least one of the main deep learning framework Pytorch Tensorflow Keras etc Ability to debug technical problem both software package and identifying cause and reasoning optimal next-step solution Benefits We re in a really lucky position to operate like a small team with all of the benefit of a Following our acquisition by Medtronic in February 2020 our benefit have had an impressive face lift Our benefit package aim to help support your health build wealth grow in your career and share in the success of Digital Surgery and Medtronic We are in the healthcare business and so in order to look after our people we provide Private healthcare via AXA PPP 100 excess 30 day holiday 8 bank holiday Pension scheme we double your of up to 6 12 Annual bonus scheme Annual meal allowance Life insurance 4 x annual salary Group Protection 67 of insured salary payable until pensionable age Life benefit policy Maternity 20 week full pay 15 returner s bonus Paternity 2 week full pay Employee Assistance Programme support line legal or financial advice This is not to mention all the other perk for working with u such a our employee program a cash bonus for referring a friend and a whole host of other wellness benefit We also flexible working so you choose when you start and finish This is just one of our Family policy So what s it like working at Digital Surgery Part of the Medtronic family we benefit from a feel within the world s leading medical We have 130 people globally with team across the UK US and Canada The majority are based in our London HQ in Old Street is made up of several Engineering Product Studio Innovation Marketing HR Operations Finance and Sales We care about our employee career and development offering training internally a well a and attending We believe that helping you grow will help grow too We have our Family Meeting on Friday afternoon with beer wine drink it s a great chance to meet new joiner share success story and hear what s been going on in that week Our Values All for One Candid but Kind Equitable Grit Deliver Extraordinary Things Come help u to build that make a difference that change life that save life COVID19 During this global crisis we have erred on the side of caution in our handling We closed the office 3 week before the lockdown in order to protect our employee As flexible working ha always been on the table our preexisting IT infrastructure ha allowed u to seamlessly transition to life in lockdown across the wider organisation Despite the global crisis to grow and are interviewing and onboarding candidate remotely so please do APPLY to express your interest in our vacancy ,Tue Nov 24 14:03:07 2020,"title:(machine, learning)",,,,,3.0,London,2020-11-24
48,Venturi,Machine Learning Engineer,Machine Learning Engineer Data engineering Data Science ML Data engineer Scientist is required for a tech-driven based in a stylish central London location This is a diverse opportunity for a Data Scientist with machine learning and Python engineering experience to join an innovative SAAS who are at the forefront of their industry You will be exploring huge amount of structured and unstructured data implementing your finding and taking responsibility for the entire lifecycle of the product creating a prototype evaluating user testing and engineering in Python What s in it for you a the ML Python Engineer Data Scientist The ML Engineer Data Scientist will have salary of up to 85 000 depending on experience Being part of an award winning ML Being part of a dynamic team and having autonomy in your work Working with a modern tech stack Independent learning budget and great career opportunity Very generous holiday and a supportive working environment Flexible working hour 2 day remote working from home Team lunch and trip Key Skills and Responsibility of the ML Engineer Data Scientist Expert of machine learning and NLP Practical experience in delivering a product end to end creating a prototype evaluating user testing in python A degree in Computer Science Physics Engineering or Mathematics skill Ability to work in an agile environment with a small close-knit team Excellent Python programming skill and machine learning NLP library Excellent critical thinking skill and a hard-working start-up mentality Nice to have but not essential Experience with NoSQL SQL database AWS experience As you can see this is a well-rounded and diverse opportunity to use skill in all area of Data Science ML and engineering to deliver an award-winning product Don t miss out on this opportunity to join an innovative organisation in the machine learning industry a a Data Scientist Python Engineer To apply for this position please send a recent CV to Keywords for search Pandas Machine Learning Python Data Scientist Numpy Scipy Sklearn ML Pandas Machine Learning Python Data Scientist Numpy Scipy Sklearn ML Big Pandas Machine Learning Python Data Scientist Numpy Scipy Sklearn ML Pandas Engineer Machine Learning Python Data Scientist Numpy Scipy Sklearn ML Pandas Engineer Machine Learning Python Data Scientist Numpy Scipy Sklearn ML Venturi TVGL Inc is an equal opportunity employer and doe not discriminate on the basis of sex including pregnancy gender gender identity genetic information marital status military veteran status national origin ancestry race religion sexual orientation transgender status non-disqualifying physical or mental disability domestic violence victim status criminal or arrest unemployment status or any other basis protected by applicable law ,Tue Nov 24 14:03:12 2020,"title:(machine, learning)",,85000.0,44.78,Y,8.0,London,2020-11-24
49,Evi Technologies Limited,"Applied Science Internship - Speech Technologies, Computer Vision, Machine Learning",Experience programming in Java C Python or related language Master s in Computer Science Mathematics Machine Learning or related quantitative field Enrolled in a Master s or Ph D degree in science machine learning operation research statistic or related field Experience in designing experiment and statistical analysis of result Experience in understanding and ability to implement algorithm using both toolkits and self Experience with Java C or other programming language a well a with R MATLAB Python or similar scripting language Are you a MS or PhD student interested in a 2021 Applied Science Internship in the field of Speech Robotics Computer Vision or Machine Learning Deep Learning Do you enjoy diving deep into hard technical problem up with solution that enable successful product that improve the life of people in a meaningful way If this describes join our research team at Amazon As an Applied Science Intern you will have access to large datasets with billion of image and video to build large-scale machine learning system Additionally you will analyze and model terabyte of text image and other type of data to solve real-world problem and translate business and functional requirement into quick prototype or proof We are looking for smart scientist capable of using a variety of domain with machine learning and statistical technique to invent design evangelize and implement state-of-the-art solution for never-before-solved problem Machine Learning Science Amazon ha multiple position available for Machine Learning Scientists in Berlin Cambridge Edinburgh Iasi and Tuebingen A few of the team that are hiring include Core AI Amazon Search AWS AI Advertising Technologies Community Shopping Prime Video Speech and Language Technology We are hiring in all area of spoken language understanding ASR NLP NLU Machine Translation text-to-speech TTS and Dialog Management Amazon ha multiple position available for Speech Scientists in Aachen Barcelona Berlin Cambridge Edinburgh Gdansk Haifa Tel Aviv and Turin A few of the team that are hiring currently include Alexa ML Alexa Domains Alexa Brain Alexa Shopping Amazon Search CS Technology Computer Vision Amazon ha multiple position available for Computer Vision Scientists in location such a Berlin Barcelona Tuebingen Haifa and Tel Aviv We are currently hiring for multiple team including Visual Search Amazon AI AWS Rekognition Amazon Go Lab126 Enrolled in Ph D degree in science machine learning operation research statistic or related field Familiar with undergraduate curriculum science Technical understanding and discussing and algorithm tradeoff and new opportunity with technical team member Publications at top-tier or journal Excellent critical thinking with the ability to present your belief clearly in both verbal and written form Equal Opportunities Amazon is an equal opportunity employer We believe passionately that employing a diverse workforce is central to our success We make recruiting decision based on your experience and skill We value your passion to invent simplify and build EU Student Programs Team ,Tue Nov 24 14:03:18 2020,"title:(machine, learning)",,,,,67007.0,Cambridge,2020-11-24
50,Cambridge Assessment,Machine Learning Engineer: Speech Processing,Job Title Machine Learning Engineer Speech Processing Contract Permanent Salary 60k 84k Location Cambridge or Bristol Help u revolutionise English language learning and assessment We are recruiting a Machine Learning Engineer Speech Processing to expand our in-house expertise in speech processing to increase the pace and scope of our tech transfer effort at English Language iTutoring ELiT which turn research into product and service that help people learn English A new team of Machine Learning Engineers will work closely researcher and with the Speech Research Group at the Cambridge University Department of Engineering to develop existing technology and create new one Our ML-powered capability use state-of-the-art technique to automate assessment and on English proficiency These technology were developed with the Institute for Automated Language Teaching and Assessment ALTA and Cambridge Assessment English s Research and Thought Leadership department We work with multidisciplinary team at the University of Cambridge and are looking for people who will enhance This is an exciting opportunity to work with world-leading speech processing researcher problem with machine learning and artificial intelligence What you ll be doing Developing a technical roadmap for an area where machine learning-based system are You will grow the machine learning and natural language processing capability of our organisation Leading technology transfer project with product team academic researcher engineer This will include prototyping operationalising and deploying novel machine learning development to solve business problem Collaborating with data engineer web developer and enterprise architect to build data pipeline and model training infrastructure You will also be responsible for publishing and presenting research to position Cambridge Assessment English a thought leader in language assessment and learning particularly in the application of artificial intelligence to these area Identifying specific problem for junior machine learning researcher and data scientist to solve you will also be a mentor to support their development a independent engineer With an eye on the bigger picture you will be engaging with policy debate about the governance and regulation of artificial intelligence technology in and responding to query regarding the effectiveness of machine learning-based system in and where developing deployable solution a fix What we re looking for The Machine Learning Engineer will work closely with the ELiT team and with other expert in machine learning at the Speech Research Group and the Institute for Automated Language Teaching and Assessment ALTA Our successful candidate will have excellent technical skill and related to speech processing a well a being able to use these creatively and independently to solve novel problem You will have the skill to help deploy AI-powered solution widely in Cambridge Assessment English and Cambridge University Press product To achieve this you ll articulate the benefit of applying machine learning to and be able our vision to a range of stakeholder Qualifications A postgraduate degree e g MPhil with a strong emphasis on machine learning or natural language processing e g Advanced Computer Science Machine Learning Speech Technology Informatics Computational Linguistics is essential A doctoral degree e g PhD focused on research in Spoken Language Processing is desirable Skills programming skill Highly proficient in Python and Java Communication skill to explain research and idea to both specialist and non specialist audience Ability to work independently on technical problem Ability to work with business to goal and create solution that use artificial intelligence Ability to develop approach for deployable system taking into live such complexity latency etc Ability to use extend and maintain Linux OS script Strong understanding of speech processing technique such a speech segmentation language modelling and automated speech The ability and willingness to engage with existing software infrastructure of social science research particularly applied linguistics is desirable The ability and willingness to lead multidisciplinary team is desirable Experience Conducting research on deep learning for sequence data preferably including the modification of existing toolkits Using relevant deep learning toolkits e g PyTorch TensorFlow to independently problem Designing statistical experiment and analysing the performance of machine learning model Publishing work in or industry circle Experience using language modelling toolkits e g SRILM KenLM is desirable Experience using and creating docker is desirable Experience using AWS service is desirable Experience of building speech system preferably using Kaldi toolkit is desirable Research experience in one or more of the following area is desirable spoken language assessment and large vocabulary speech spoken language processing e g dialogue system summarisation natural language processing e g tagging classification sentiment analysis speech synthesis statistical or waveform audio processing Behaviours Innovative we are looking for someone who can technique quickly and deploy them in creative way to meet changing in teaching and assessment around the world You must be able to demonstrate how you have innovated and experimented with different approach in the past preferably in the application of ML Responsible the product and service we build impact on million of English learner We expert trusted to uphold standard of transparency fairness and quality Our partner rely on u for reliable and robust system we expect our staff not on these standard Collaborative the successful applicant must be able effectively with small agile team and larger organisation from different functional area and background such a academia business development and software engineering The closing date for receipt of application is 1 December 2020 and interview will be held on 14 December To apply please upload letter and CV As part of your recruitment process you will be required to undergo a background screening This will be carried out by our selected supplier Background Screening CAMBRIDGE ASSESSMENT IS AN EQUAL OPPORTUNITIES EMPLOYER ,Tue Nov 24 14:03:23 2020,"title:(machine, learning)",,84000.0,44.26,Y,61.0,Bristol,2020-11-24
51,Tractable,Machine Learning Engineer,ACTIVELY INTERVIEWING remotely HIRING FOR THIS POSITION DURING COVID-19 Apply now Who are we We re Tractable a 50M backed Series C startup and Startup of the Year 2020 solving a real world problem with our mission to use AI technology to help people after an accident or natural disaster We re looking for a Software Engineer who thrives on ownership autonomy The way we build our product is by putting a team together with all the skill it to be able to solve real world problem We believe strongly between the product team and engineer and we work in small lean of Engineers a Product Manager and Product Designer The project you will be working on The Claim Assessment Team aim to deliver at least human-level performance real-time assessment visual task to ass damage of a vehicle to simple yet effective rule-based system to extract insight from the claim data We enable other team to create value for the customer by finding leakage or fraud in an estimate We achieve this goal by creating new AI intellectual property packaged in reliable easy-to-use interface We work in a team with a product manager software engineer applied researcher and data scientist with different degree of software engineering and machine learning experience We believe in the principle of You build it you run it We do not hand off to someone else to deploy operate We make the best of and experience brought in by everyone and we look forward to hearing about what you can bring You will be You ll play a key role in developing our platform a part of a small but high-performing team You will influence the scope and technical direction of the product pursue practice towards overall platform with our wider Engineering and Product team Specifically you will be Working with data scientist in the life-cycle of Machine Learning rule-based model from ideation prototyping to productionisation monitoring Extending platform capability to allow efficient and flexible deployment of various kind of model Building toolings label data for analysis to enable efficient on-boarding of new customer Solving scalability problem a we scale up in production volume Adopting open-source technology to best leverage our in-house resource Promoting engineering best practice throughout the team and synthesising requirement and creating effective feature roadmap with Product Manager Tech Stack We rely heavily on the following tool and technology below but you don t need to have prior experience in all of these technology Python Tensorflow for running ML model we also use Typescript Node j to manage asynchronous and intensive task PostgreSQL for persistent data storage Kafka for our asynchronous message queue DCOS and Docker to and run our service soon Kubernetes Jenkins to run our testing and deployment pipeline AWS for our infrastructure React GraphQL for our tooling suite What we re looking for A strong ML Engineer who enjoys solving problem by pairing Software Engineering and Machine Learning technique You would have solid Software Engineering background and experience delivering ML model in the real world A few thing we are particularly interested in seeing from you skill mindset Strong programming experience from algorithm object modelling design Extensively worked with Python in a professional environment experience Experience working with GPUs tensorflow ML framework Bonus if you have trained a few deep learning model Able to design good system architecture trade-off distributed system experience a plus Cares about team practice pairing advocate of CICD Company benefit Competitive salary 6 month salary review Visa sponsorship if required Equity Pension scheme Flexible Working Free unlimited Coursera subscription Learning and Development budget Competitive maternity paternity leave Daily snack soft drink event such a Games Nights Movie Nights Lunch Learns Monthly Brunch and more Location Old Street City of London remote for the time-being until COVID-19 clear ,Tue Nov 24 14:03:29 2020,"title:(machine, learning)",,,,,3.0,London,2020-11-24
52,causaLens,Research Scientist - Machine Learning,Summary We are looking for a motivated and high-achieving Research Scientist Machine Learning Research based in London to join the team on our vision to optimise every business on the planet This is a full-time placement with significant opportunity for personal development We offer an intellectually stimulating environment work within an interdisciplinary team and an inclusive culture We are a high-calibre mission-driven team building a technology that improves our world Roles and Responsibilities This is an exciting role for a smart creative person to focus on research topic in Machine Learning Deep Learning and or Reinforcement Learning The successful candidate will join the CLX research group focusing on Causality Blue Sky Research The Company Current machine learning approach have severe limitation when applied to real-world business problem and fail to unlock the true potential of AI for the enterprise causaLens is pioneering Causal AI a new category of intelligent machine that understand cause and effect a major step towards true artificial intelligence Our enterprise platform go beyond and provides causal insight and suggested action that directly improve business for leading business in asset management banking insurance logistics retail utility energy and many others We to addressing the diversity problem in the tech industry and that start with making sure we have a team where everyone feel at home and a a peer causaLens in the News Best Deeptech Company 2019 Artificial Intelligence Awards Meet causaLens a AI For Hedge Funds Banks Tech Companies Yahoo Finance The U K s Most Exciting AI Startups Race To Scale Forbes AllianzGI Taps Virtual Data Scientists amid War for Talent Financial Times Machine Learning Companies to watch in Europe Forbes Best Investment in Deeptech award UK Business Angels Association award 100 Most Disruptive UK Companies Hotwire causaLens Appoints Hedge Fund Veteran and Data Leaders to Advisory Board Newswire Benefits The opportunity to join a fast-growing agile and international team passionate about innovation and making a difference Competitive remuneration Share option scheme Pension scheme 32 day paid holiday allowance incl bank holiday Equipment you need to get the job done MacBook Pro etc Good work-life balance Opportunities learning and self-development conference and book budget Flexible work-from-home and remote day Cycle to work scheme Weekly journal club and sharing presentation Regular team outing pizza Thursdays and retreat Fruits snack and soft drink in the office Amazing smart fun and always there to support your idea growth and enthusiasm Logistics Our interview of of online interview and an on-site visit We will do our best to the process with the successful candidate PhD in a quantitative field machine learning science statistic physic mathematics Research or Industrial experience in Machine Learning Deep Learning or Reinforcement Learning necessary Creativity and ability up with idea to tackle very hard problem and design implement solution Ability to translate advanced machine learning algorithm Python Familiarity with the general data science pipeline for time-series is a plus Highly capable and personable Ability to demonstrate integrity and drive Naturally curious and effective problem solver An excellent written and with a high level of business acumen Ability to effectively work independently in a fast-moving environment ,Tue Nov 24 14:03:34 2020,"title:(machine, learning)",,,,,,London W6,2020-11-24
53,PROWLER.io,Senior Machine Learning Engineer,About the role This is an exciting opportunity to join a team at the forefront of artificial intelligence and applied machine learning At we re developing technology that can be used across many different domain to enable people to make better decision You will be working in interdisciplinary team delivering customer value through the development and refinement of ML tool and the application of these tool to customer problem You will be developing our machine learning technology and guiding their application within customer engagement to new solution in transportation and logistics the automotive industry and beyond This mean lot of variety and involves working within client project and internal product development Your work will be directly used and built upon in our product What will you be responsible for Leading multidisciplinary team to solve novel customer problem through applying and extending our state-of-the-art machine learning technique Working with researcher and platform engineer to migrate research prototype to production Continuously developing your own machine learning and engineering skill and helping others to improve theirs Contributing to culture review and design discussion In your role a a Senior Machine Learning Engineer the defining measure of your success is being able to successfully solve novel real-world problem through using our ML technology in a manner that is robust and creative a well a having the potential to be scalable What skill experience and qualification do you need to succeed in this role As an expert in system you will be responsible for identifying how to best design develop and deploy our ML technology to allow our customer to make better decision You will enjoy solving novel technical problem and be able to share this enthusiasm with your team You will be someone who ha industry experience working in software engineering data science or machine learning and strong appreciation of all three area This will include deep of at least one programming language e g Python or C You will have an ability to across different technical area You will have previously worked on customer project and with project stakeholder You will have the trust and autonomy to plan your work independently taking into the requirement of your team and the project work Where you see space for improvement we ll you to highlight these and make them happen You will ideally hold a Bachelors and potentially a Masters science software engineering statistic machine learning or other numerate field Other degree will with relevant work experience You will be someone who actively improves your technical either through identifying or pursuing self-study a We sharing throughout the team through internal seminar lightning talk and participating in training activity About We are born in 2016 with a mission to empower people to make better decision We are a cross-disciplinary team of researcher engineer and product manager based in Cambridge UK a global centre of AI excellence branch of mathematics and engineering in way that have never been done before our integrated approach and our industry-leading research give u a advantage We take pride in our diversity valuing the experience and expertise that people from different background bring to our organisation Our team of approximately 100 talented people from all over the of over 20 different nationality We innovative ambitious optimistic and curious We are on a mission to empower people to make better decision Because people powered by AI make better decision Salary Competitive salary depending on experience Stock option benefit ,Tue Nov 24 14:03:40 2020,"title:(machine, learning)",,,,,,Cambridge,2020-11-24
54,"JPMorgan Chase Bank, N.A.",CIB Applied AI & Machine Learning - Digital & Platform Services Operations - Vice President (VP),About Data Analytics within Corporate Investment Bank Data Analytics at J P Morgan Corporate Investment machine learning technique with unique data asset to optimize all the business decision we make In this role you will be part of our industry-leading data analytics team and advance the state-of-the-art in financial application ranging from generating business intelligence to model and automated decision making The role will be in the firm s Applied AI and Machine Learning organization and will involve working closely with Digital Platform Services Operations The successful candidate will apply data analytics technique from both traditional statistic and machine learning to of third party publicly available and J P Morgan proprietary datasets with the goal of answering question relevant to Operations About Operations The Digital Platform Services Operations team support the Corporate Investment Bank and it partner and function including Technology Data Science Client Service Product and Platform a well a other business and stakeholder across the firm ResponsibilitiesResearch and develop innovative ML based solution to some of Operations hardest problemsUnderstand the Operations business to formulate relevant high impact business question that can be answered through data analysis Work on building robust Data Science capability which can be scalable across multiple business use case Collaborate with Tech partner to design and deploy Machine Learning service that can be integrated with strategic system Think strategically to leverage within the firm and state of the art available externally when building the capability Research and analyse data set using a variety of statistical and machine learning technique Communicate final result and approach and technique Required Technical Qualifications and experienceSignificant relevant experience in a reputable work environment BS MS or PhD in a quantitative discipline Hands-on experience developing and deploying Data Science and ML capability in production at scale Strong ability to develop and debug in Python or similar professional programming language Should be able to work both individually in team in order to achieve project goal Must be curious hardworking and and motivated analytical problem Experience with Natural Language Processing NLP Able to be result and client focused and follow the agile development paradigm Nice to HaveAble to design or evaluate intrinsic and extrinsic metric of your model s performance which are aligned with business goal Able to independently research and propose alternative with some guidance a to problem relevance Able to work with non-specialists in a partnership information clearly and creates a sense of trust with stakeholder Strong experience with machine learning APIs package example Scikit-Learn NumPy SciPy Pandas statsmodels Previous experience with Deep Neural Network package example TensorFlow Theano PyTorch Keras Experience with big-data technology such a Hadoop Spark SparkML etc J P Morgan is a global leader in financial service providing strategic advice and product to the world s most government wealthy individual and institutional investor Our first-class business in a first-class way approach to serving client drive everything we do We strive to build long-term partnership to help our client achieve their business objective We that our people are our strength and the diverse talent they bring to our global workforce are directly linked to our success We are an equal opportunity employer and place a high value on diversity and inclusion at We do not discriminate on the basis of any protected attribute including race national origin gender sexual orientation gender identity gender expression age marital or veteran status pregnancy or disability or any other basis protected under applicable law In with applicable law we make reasonable for applicant and employee religious practice and belief a well a any mental health or physical disability ,Tue Nov 24 14:03:45 2020,"title:(machine, learning)",,,,,8571.0,London,2020-11-24
55,SoCode,Data Scientist - Machine Learning,Data Scientist Up to 80K benefit SoCode have partnered with a globally renowned machine learning focused organisation a theEC2N to develop their award-winning fraud detection and anti-money laundering software have been rated a one of the top 100 globally and have won multiple award for their technology and management After recently receiving around 30M in funding they require exceptional data scientist and work a part of the established anti money laundering team in central London This role will have you Processing and modelling large data setsWorking with business to help them understand their data in relation to machine learning and modellingDevelopment of statistical model and algorithm applying analytical theory to real world problem on large and dynamic data setsProvide input into future data science strategy and the further development of productsWorking with development team to enhance the analytical infrastructureDeveloping an understanding of industry data structure and process Essential Experience STEM Degree from a top universityExperience applying ML algorithm to real world dataExperience implementing statistical model and algorithm into softwarePractical experience of handling large diverse data set Desirable Experience Masters PhD What s on offer Extensive benefit packageUpto 90 000Quarterly bonus scheme This is a fully remote role until further notice and Interviews will Due to the volume of application we are unable to give on individual CV s All relevant candidate will and we offer referral scheme ,Tue Nov 24 14:03:51 2020,"title:(machine, learning)",,90000.0,47.42,Y,,London,2020-11-24
56,Explore Group,Machine Learning Engineer/Lead,ML Engineer Machine Learning Engineer Machine Learning Lead ML Lead Contract London Python Pandas Numpy SQL AWS AZURE GCP An advanced analytics and digital innovation organisation we partner with have reached out advising me they re on the lookout for a Machine Learning Engineer to join their London office on an initial The most important part of the position is to work alongside the data scientist review them to help them develop a developer to ensure they produce high-quality maintainable scalable solution In this role you would also help set up a scalable ML environment allowing data scientist to rapidly experiment while keeping robust Details Contract London based remote for the mean time Interview slot available Skills Strong Python skill Know multiple Python library Pandas NumPy pickle SQLAlchemy GCP library Capable to work in MLOPS fashion manage the full ML model lifecycle Know how to write unit and integration test with Python Ideally worked with one of the following GCP AWS Azure Databases experience SQL NoSQL If you feel this would be of interest please send me over the latest version of your CV and I will be in touch ML Engineer Machine Learning Engineer Machine Learning Lead ML Lead Contract London Python Pandas Numpy SQL AWS AZURE GCP ,Tue Nov 24 14:03:56 2020,"title:(machine, learning)",,,,,13.0,London,2020-11-24
57,Linux Recruit,"C++ Contract- Risk, Machine Learning - London",You will be joining a machine learning tech start up focused on risk modelling that is looking to triple in size over the next 12 month As a C Consultant you will be involved in the design and build of their risk platform meaning daily focused on performance and reliability One of the appeal is that you are joining a group of very strong technologist You ll with very clever people that work hard to get thing done You ll learn discus and pas on in a no ego supportive environment From a tech point of view your focus will be C but you will also get the chance to work with Python JavaScript AWS k8s and like Monte Carlo You ll also be trusted to ensure is reliable scalable and fast If you ve read this far it s probably worth having with me to learn more Get in touch with Tom Booth at LinuxRecruit I m keen to speak to anyone in this space and happy to share more information ,Tue Nov 24 14:04:02 2020,"title:(machine, learning)",,600.0,82.19,D,,London,2020-11-24
58,Arm,Machine Learning Engineer,Show more About the Role Arm is driving forward the industry s use of Machine Learning technique for Hardware Engineering We are harnessing the power of Data Science and Machine Learning technique to automate the design and verification of CPU GPU Accelerator hardware to reduce time-to-market and enable design Where Hardware IP design can be we re automating it where it can t we re providing actionable intelligence to help our team make timely data-driven decision As part of our small diverse and multi-functional team of Hardware Engineering Software tool service and Data Science expert you will be helping to develop new and novel technique that will accelerate and empower our Engineering team to do their best work You will be helping to Deploy ML DS pipeline into production on live Hardware IP development project Build and maintain part of an MLOps system that enables CI CD of ML pipeline and model Build and maintain custom interface to EDA tool testbenches and data store You will be placed in our development team at Arm s office in Cambridge UK where you will be able to learn towards engineering challenge across many software area You will Work across all aspect of the software lifecycle whilst being supported by and learning from the rest of the team Contribute effective performant and into production Analyse and improve the performance architecture and resilience of ML application and their deployment infrastructure Gather requirement for new feature and update stakeholder on progress In order to you will need a bachelor s degree or equivalent in Electronic Engineering Computer Engineering Computer Science or another relevant subject Other degree type may with relevant experience You will also need to have 1-3 year work experience including any internship experience EssentialSkills Qualities Demonstrable of Python you re able to explain OOP async multithreading profiling Demonstrable experience of shell programming scripting in a UNIX environment Experience of software delivery practice including Git and CI CD tool e g Jenkins An understanding of DevOps or MLOps topic You have a creative and structured approach to problem-solving including debugging You are eager to and open team culture You have skill and are able to present result in manner to technical non-technical audience Desirable Skills and Qualities Experience using DevOps MLOps tool Experience virtualisation technology e g Docker Close familiarity with Agile development methodology We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of sex age national origin religion sexual orientation gender identity status a a veteran and basis of disability or any other federal state or local protected class LI-SS1 ,Tue Nov 24 14:04:07 2020,"title:(machine, learning)",,,,,59.0,Cambridge,2020-11-24
59,G,Quantitative Researcher (Data Science/Machine Learning/Mathematical Modelling),G-Research is Europe s leading quantitative finance research firm We hire the brightest mind in the world to tackle some of the biggest question in finance We pair this expertise with machine learning big data and some of the most advanced technology available to movement in financial market The Role We research systematic trading idea that the future of financial market applying scientific technique to find pattern in large noisy and rapidly changing real-world data set We are working on the fringe of the possible trying to beat the efficient market hypothesis with the full big data tool set We also build on the latest academic research into optimisation method to find innovative solution to that Markowitz This is a pure research role where you will have the to develop and test your idea with real-world data in an environment that resembles academia you are only limited by your imagination Who are we looking for The ideal candidate will at minimum have experience in the following area You will have an interest in applying to real world financial problem An interest in implementing theoretical insight a You will have or be working towards gaining a Masters or PhD degree in a highly quantitative subject mathematics science physic or engineering Previous financial experience is not although interest in finance and the motivation to rapidly learn more is a prerequisite for working here Why should you apply compensation plus annual discretionary bonus Informal and excellent work life balance Comprehensive healthcare and life assurance 25 day holiday Contributory pension scheme Central London office close to 5 station and 6 tube line ,Tue Nov 24 14:04:13 2020,"title:(machine, learning)",,,,,9.0,London,2020-11-24
